trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
35,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,0,-167.42514593798677,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.6894490858690777}",30,0,-203.1678450438265,"{0: 20, 1: 0, 2: 5, 3: 1, 4: 4}",0
37,False,"{'a': 0.5, 'e': 0.682554595010387}",25,11,-29.984566745481875,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.6757290490602831}",25,0,-204.58204016691224,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.6689717585696803}",20,3,-82.5506740344725,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
40,False,"{'a': 0.5, 'e': 0.6622820409839835}",30,0,-149.1020533999204,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,0,-93.85613761295492,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.6491026283684022}",30,7,-48.902032011494974,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6426116020847181}",30,17,-7.3390782013413975,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,0,-42.10210219976171,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,0,-55.75346581247804,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.6235253948912}",25,0,-68.92596378183488,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.617290140942288}",25,4,-67.43464030680327,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.6111172395328651}",20,0,-89.11035152126227,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.6050060671375365}",30,13,-60.74099768120928,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 0}",1
